перевод	[Loewe 1854]	[Люлье 1846]	Хаджико	Большой Кичмай	Псебе	Агуй-Шапсуг	Псейтук	Нешукай	Б. Псеушхо	Егерухай	М. Псеушхо	[Водождокова 1960]	Batı Lehçesi  [Doğ et all 2014]	Doğu Lehçesi [Doğ et all 2014]	Уляп	Вакожиле	Бесленей	Кургоковское	Ходзь	Блечепсин	Хумара	Инджиджишхо	Эрсакон	Жако
голова	tshkha, yûkotsh feymâter	тсха, сха	шъхьа	шъхьа, сшъхьа	шъхьа	шъхьа	шъхьа	шъхьэ	шъхьа	шъхьа	шъхьа	ŝhe	şha	ṩha	ŝha	шъхьа	шъхьа	шъхьа	шъхьа	шъхьа	шъхьа	шъхьа	шъхьа	шъхьа
лоб	meynâhtey, ket-shey, pet-sâtsh	няте	натIэ	натIэ, сынатIэ	натIэ	натIэ	натIэ	натIэ	натIэ	натIэ	натIэ	naṭe	naṫe 	naṫe 	naṭe	натIэ		натIэ	натIэ	натIэ	натIэ	натIэ	натIэ	натIэ
глаз	néh	нне	нэ	нэ, сынэ	нэ	нэ	нэ	нэ	нэ	нэ	нэ	ne	ne	ne	ne	нэ	нэ	нэ	нэ	нэ	нэ	нэ	нэ	нэ
ресница		найке	нэбзыц(э)	нэбзыцэ, сынэбзыцэ	нэбзыц	напцэ	нэбзыц	нэбзыц	нэбзыц	нэбзыц	нэбзыц	nebzəc	nebjıś 	nebĵıś 	nebẑəc	набжъыц		нэбжъыц	нэбжъыц	нэбжъыц	нэбжъыц	нэбжъыц	нэбзыц	нэбжъыц
бровь	nâhptsey	не͡апце́	напцэ	напцэ, сынапцэ	напцэ	напцэ	напцэ	напцэ	напцэ	напцэ	напцэ	napce			nabʒe	набзэ		набжэ	набдзэ	набдзэ	набдзэ	набдзэ	набдзэ	набдзэ
веко			нашъэ	нашъэ, сынашъэ			напIэ	напIэ				naṗe	nаṕo	naṕe 	naṗe	напIэ		напIэ	напIэ	напIэ	напIэ	напIэ	напIэ	напIэ
ухо	táhkoom	тагуме	тхьакIумэ	тхьакIумэ, стхьакIумэ	тхьакIум	тхьа(к)Iум	тхьакIум	тхьакIум	тхьакIум	тхьак1умэ	тхьакIум	thaḳʷəm	thaqum 	thaqume 	thaḳʷəme	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ	тхьакIумэ
лицо	îhtshooz, nâhpey	напё, нёгу	нэгуы	сынэгу, сынапэ	нэкIу	нэгуы, напэ, нахэ	нэгу	нэгу, напhэ, нэкIу	нэкIушъо	нэгу	нэкIу, нэгу	nape, negʷə	nape 	nape 	negʷ, nape	напэ, ныку, нэгу		напэ, нэгу	напэ, 	нэкIу, напэ	напэ	напэ	напэ, нэIу, нэгу	нэкIу, напэ, нэIу (морда животного)
щека	néhk	нёгусха	нэкIушъу	нэкIушъо, сы	нэкIушъо	нэ(к)Iушъхь	нэгушъхь, нэкIушъхь	нэгушъхьэ	нэкIу	нэгушъхьа	нэкIушъо	negʷəŝʷə	nequşha 	nequṩha 	negʷ	нэку		нэгушъхьа	нэкIу		нэкIу	нэкIу	нэкIу	нэкIушъхьа
нос	pey	ппё	пэ	пэ, с	пэ	пэ	пhэ	пhэ	пэ	пэ	пэ	pe	pe	pe	pe	пэ	пэ	пэ	пэ	пэ	пэ	пэ	пэ	пэ
клюв			пэ	пэ, с			пhэ	пhэ	пэ			qʷelebzəwəp			pe	пэ				пэ	пэ			
рот	shey	жже	жьэ	жьэ, сы	жьэ	жьэ	жьэ	жэ	IупшIэ	жэ	жэ	že	je 	ĵe   	že	жэ	жэ	жэ	жъэ	жъэ	жъэ	жъэ	жьэ	жъэ
губа	oobzey	купсе	IупшIэ	къIупшIэ,  с	Iупэ	IупшI	Iупhэ, IупшIэ	IупшIэ	IупшIэ	Iупэ	Iупэ, IупшIэ	ʔʷəpṣ̂e	upş`e 	upş`e 	ʔʷəpe	Iупэ		Iупэ, IупшIэ	Iупэ	Iупэ	Iупэ	Iупэ	Iупэ	Iупэ
морда						IупшI						negʷə			negʷ	напэ								
подбородок	dshâ, dshó		жьэпкъы	жьэпкъы, сы	жьэпхъы, жьэпхъы	жьэпкъы	жьэпкъы	жэкIэпкъ	жэпкъы	жэпкъ	жэпкъы	žeč̣ʼepepq	jepk 	ĵepk	žepq	жэпкъ		жэпкъ		жъэпкъ	жъэпкъ	жъэпкъ	жъэпкъ	жъэпкъ
челюсть			жьэпкъы	жьэпкъы, сы		жьэгъу	жьэпкъы	жэпкъ				žepqə	jepk 	ĵepk	žepq	жэпкъ			жъэпкъ					
